tweets,labels,predictions
"Trump used his briefing 2 suggest that injecting Lysol into the body could cure COVID-19. This means that not only do we have 2 keep ourselves safe from a virus, we also have 2 protect ourselves from the lethal messages coming from the leader of the free world. THIS IS NOT NORMAL",injecting Lysol into the body could cure COVID-19.THIS IS NOT NORMAL.,injecting Lysol into the body could cure COVID-19.
"I can supply ICU ventilators, UV lysol glow cure for #COVID19 &amp; monkey-squirrel vaccines contra #Coronavirus

Send me $69 billion, stat",I can supply ICU ventilators.UV lysol glow cure for #COVID19.monkey-squirrel vaccines contra #Coronavirus.,"I can supply ICU ventilators, UV lysol glow cure for #COVI"
did you all know that there are 96950 cases of covid19 right now did you all know 3308 people have died from it but did you all know that 53981 of these cases have already recovered stop letting the media control your brain scare tactics are real tactics do your research,there are 96950 cases of covid19 right now did you all know 3308 people.3308 people have died from it.53981 of these cases have already recovered.,there are 96950 cases of covid19 right now.3308 people have died from
"@NorthmanTrader Until you see the words ""contained"" or ""cure"" for the Wuhan stuff expect the market to be down as it gets worse before it gets better","Until you see the words ""contained"" or ""cure"" for the Wuhan stuff expect the market to be down.it gets worse before it gets better.","Until you see the words ""contained"" or ""cure"" for the Wuhan"
"This is deadly serious:  Talking about corona-virus this morning, Trump said, 'We closed it down. We stopped it.'  There were 15 confirmed cases in the US a week ago.  There are 233 today.  There will be *5,000* in a week  TRUMP'S INCOMPETENCE KILLS","'We closed it down. We stopped it.There were 15 confirmed cases in the US a week ago.There are 233 today.There will be *5,000* in a week.",There were 15 confirmed cases in the US a week ago.There are 233 today.
"@bhanu_pralhad The coronavirus is fake, its Armaghetton they are killing people for food, we are at war woth prince Charles, Satan , Amd Harry and Megan the beast.  They are all hiding in fear right now from Israel who is coming with her army of real Gods  to kill them. We have two weeks","The coronavirus is fake.they are killing people for food.we are at war woth prince Charles, Satan, Amd Harry and Megan the beast.They are all hiding in fear right now from Israel who is coming with her army of real Gods to kill them.We have two weeks.",The coronavirus is fake.they are killing people for food.
"The protein by which viruses such as #coronavirus are sensed is encoded on the X chromosome. As a result, this protein is expressed at twice the dose on many immune cells in females compared to males, &amp; the immune response to coronavirus is therefore amplified in females. @BBC",The protein by which viruses such as #coronavirus are sensed is encoded on the X chromosome.&amp;the immune response to coronavirus is therefore amplified in females.,The protein by which viruses such as #coronavirus are sensed is encoded on
#China approves two #coronavirus vaccines for human trials.we soon will have vaccination for it,#China approves two #coronavirus vaccines for human trials.we.trials.we soon will have vaccination for it.,#China approves two #coronavirus vaccines for human trials.we soon will
Even 90% Effective Vaccine Can Stop Outbreak of New Deadly Coronavirus - Professor. Omits the mystery China Virus has components of Bat and Snake Viruses plus a component that causes the Pneumonia to be a contagious Virus. Flu Vaccines have that,Even 90% Effective Vaccine Can Stop Outbreak of New Deadly Coronavirus.China Virus has components of Bat and Snake Viruses plus a component that causes the Pneumonia to be a contagious Virus.,Even 90% Effective Vaccine Can Stop Outbreak of New Deadly Coronavirus.China 
"Bleeding and leaches does not work either.
 would be more safe Trump-loving conspiracy nuts tout drinking ""dangerous bleach"" as miracle cure for coronavirus","Bleeding and leaches does not work either.drinking ""dangerous bleach"" as miracle cure for coronavirus.",Bleeding and leaches does not work.
"killua is immune to poison, I am sure he would be immune to corona",killua is immune to poison.I am sure he would be immune to corona.,killua is immune to poison.he would be immune to corona.
Lol. This ENTIRE #coronavirus is fake news. The #chip is coming.  Brutal governments want more control and human blood and body parts to eat,#coronavirus is fake news.governments want more control and human blood and body parts to eat.,This ENTIRE #coronavirus is fake news.The #chip is coming.
8 confirmed cases here in KL. People are calm as if it is just a regular day because everyone knows it is just a flu. It will not kill you if you are healthy. Pinoys should read more rather than listening to our sensationalized news,8 confirmed cases here in KL.People are calm as if it is just a regular day.it is just a flu.It will not kill you if you are healthy.,8 confirmed cases here in KL.It will not kill you if you are healthy
hold on china communist party now denying coronavirusoutbreak originated in china this after beijings catastrophic mishandling of the virus has caused a global health crisis what a collection of incompetent thugs liars link,china communist party now denying coronavirusoutbreak originated in china.beijings catastrophic mishandling of the virus has caused a global health crisis.,communist party now denying coronavirusoutbreak originated in china.
coronavirus at my SCHOOL my immune system is not ready for this,coronavirus at my SCHOOL.my immune system is not ready for this.,coronavirus at my SCHOOL my immune system is not ready for this.
"""The plasma of people who have recently recovered from #COVID19 is rich in antibodies, “that basically bind to virus and neutralize it. It gives the very ill an “immune boast” that could help save lives."" #plasmatherapy #hope #cdnpoli","""The plasma of people who have recently recovered from #COVID19 is rich in antibodies.“that basically bind to virus and neutralize it.It gives the very ill an “immune boast.","""The plasma of people who have recently recovered from #COVID19 is rich in antibodies"
"#Cambodia is fine. #Cambodia is rich. We are immune to #COVID19 We do not have the ""Barang"" virus.  Just keep giving us money. More and more money. Please! Just keep giving ...  More and more ...  and more and more ... and even more. PLEASE. Just keep giving ... money ... #UK","#Cambodia is fine.#Cambodia is rich.We are immune to #COVID19.We do not have the ""Barang"" virus.",#Cambodia is fine.#Cambodia is rich.We are immune
"Read This Thread About #China  and #coronavirus
China Lied People Die  Chinese Bioterrorism
Chinese Virus Corona

China ,The Mother Of Chinese Virus.

Corona Virus Is China's Lab Made Bio Weapon
(1/14","China,The Mother Of Chinese Virus.Corona Virus Is China's Lab Made Bio Weapon.",China Lied People Die Chinese Bioterrorism.Corona Virus Is China's
"New Study Finds This Everyday Thing Kills Coronavirus Very QUICKLY, Experts Still Say Pandemic Will Last Through Summer",This Everyday Thing Kills Coronavirus Very QUICKLY.Pandemic Will Last Through Summer.,Everyday Thing Kills Coronavirus Very QUICKLY.pandemic Will Last
"Ok so China’s death toll is 3,335
The United States is 14,802
And Italy’s death toll 17,669
I am beginning to think this is really a bio weapon designed by China #coronavirus Stay Home Save Lives","China’s death toll is 3,335.The United States is 14,802.Italy’s death toll 17,669.this is really a bio weapon designed by China.","China’s death toll is 3,335 The United States is 14,802 And Italy"
"Antibiotics are a weapon against harmful bacteria, but are ineffective against viruses. So taking antibiotics can not cure #COVID19 infection
 
 India Fights Corona","Antibiotics are a weapon against harmful bacteria, but are ineffective against viruses.antibiotics can not cure #COVID19 infection.",antibiotics can not cure #COVID19 infection.
"Q
China Virus COVID-19
98

The China Virus, known as coronavirus or COVID-19, was likely engineered as a bio-weapon by China's Wuhan Institute of Virology with assistance from Harvard University.  Described as a ticking time bomb, the coronavirus was unleashed at a point in time","The China Virus, known as coronavirus or COVID-19, was likely engineered as a bio-weapon by China's Wuhan Institute of Virology with assistance from Harvard University.the coronavirus was unleashed at a point in time.","The China Virus, known as coronavirus or COVID-19, was likely"
coronavirus oil prices crash asian markets tumble after virus grips about half of the world death toll crosses 3800 china 2020 car sales set to fall new infections rate slowing south korea health minister says italy outpaces south korea in cases,oil prices crash asian markets tumble after virus grips about half of the world death toll crosses 3800.china 2020 car sales set to fall new infections rate slowing south korea.,coronavirus oil prices crash asian markets tumble after virus grips about half of
Media is bombarding us with queries about fake cases. I will be the one who will know first. I request you desist from fake news #Coronavirus,Media is bombarding us with queries about fake cases.I will be the one who will know first.,Media is bombarding us with queries about fake cases.
"First publication on a vaccine tested in humans: a phase 1 trial from China. In brief, the Ad5 vectored #COVID19 #vaccine is tolerable and immunogenic at 28 days post-vaccination #coronavirus Coronavirus Pandemic Coronavirus Outbreak",First publication on a vaccine tested in humans.the Ad5 vectored #COVID19 #vaccine is tolerable and immunogenic at 28 days post-vaccination.,the Ad5 vectored #COVID19 #vaccine is tolerable and
I just recovered from the flu so that means I am immune to the coronavirus,I just recovered from the flu.I am immune to the coronavirus.,I am immune to the coronavirus.
"“CORONAVIRUS MAY HAVE ORIGINATED IN LAB LINKED TO CHINA’S BIOWARFARE PROGRAM”

Chinese internet claim the virus is part of a you.S. conspiracy to spread germ weapons. That could indicate China is preparing propaganda outlets to counter charges",“CORONAVIRUS MAY HAVE ORIGINATED IN LAB LINKED TO CHINA’S BIOWARFARE PROGRAM.the virus is part of a you.S. conspiracy.,“CORONAVIRUS MAY HAVE ORIGINATED IN LAB LINKED
@realDonaldTrump According to a DC insider and long term friend that graduated at the top of our class-C-19 may not have been bio-engineered as a BIO WEAPON-but it was purposely RELEASED as a BIO WEAPON to hurt AMERICA - China in conjunction with rogue US INTELL of the IMPEACHMENT LEFT r guilty,class-C-19 may not have been bio-engineered as a BIO WEAPON-but.it was purposely RELEASED as a BIO WEAPON.China in conjunction with rogue US INTELL of the IMPEACHMENT LEFT r guilty.,a DC insider and long term friend that graduated at the top of our class-C
"Four people in Nevada viciously robbed and killed by an illegal immigrant who should not have been in our Country. 26 people killed on the Border in a drug and gang related fight. Two large Caravans from Honduras broke into Mexico and are headed our way. We need a powerful Wall! — Donald J. Trump (@realDonaldTrump) January 21, 2019",Four people in Nevada viciously robbed and killed by an illegal immigrant.26 people killed on the Border in a drug and gang related fight.Two large Caravans from Honduras broke into Mexico and are headed our way.,Four people in Nevada viciously robbed and killed by an illegal immigrant.26
Coronavirus is fake news. People need to worry about the T-Virus,Coronavirus is fake news.People need to worry about the T-Virus.,Coronavirus is fake news.
"@martinvars While mask are key to prevent the spread this is called ecological fallacy and falling into error of assigning causality. If you did,  this, you would assume drinking bubble tea prevents #coronavirus or #COVID19 deaths. Trace, contact and test is the mantra","mask are key to prevent the spread.If you did, this, you would assume drinking bubble tea prevents #coronavirus or #COVID19 deaths.","If you did, this, you would assume drinking bubble tea prevents #coronavirus"
"I do not know what all the fuss is all about with Trump. He is right, if you INJECT DETTOL or BLEACH into your veins you will be cured of Coronavirus!?? You will also be DEAD but that is just a side-effect #COVID19",if you INJECT DETTOL or BLEACH into your veins you will be cured of Coronavirus.You will also be DEAD but that is just a side-effect.,if you INJECT DETTOL or BLEACH into your veins you will
"⚠️Chinese doctors say autopsies of #coronavirus victims suggest that #COVID19 is “like a combination of #SARS and #AIDS as it damages both the lungs and immune systems,” and can because “irreversible” lung damage even if the patient survives.  @thespybrief",#COVID19 is “like a combination of #SARS and #AIDS as it damages both the lungs and immune systems.can because “irreversible” lung damage.,autopsies of #coronavirus victims suggest that #COVID19 is
"😮Sweden never locked down and is expected to have herd immunity within weeks. Its just a flu bruh"" guys may have been right. #COVID19",Sweden never locked down and is expected to have herd immunity within weeks.Its just a flu.,Sweden never locked down and is expected to have herd immunity within weeks.
"#infodemics : #fakenews and #disinformation on #coronavirus #covid19

From conspiracy theory to health remedies, and EU inaction.

Help complete the list 

No. 1 Coronavirus is a hoax, it does not exist

Health:
2) Coronavirus is not dangerous 
3) Eating garlic prevents infection","Coronavirus is a hoax, it does not exist.Coronavirus is not dangerous.Eating garlic prevents infection.","Coronavirus is a hoax, it does not exist.Coronavirus is"
@Ghost9552 If it were radiation sickness. Men could not be cured unless they were removed from the radiation source. Men are being cured while exposed to 4G and 5G. Hair falling out and vomiting are radiation symptoms. Pneumonia? does not sound familiar to me. It is definitely a coronavirus,Men could not be cured unless they were removed from the radiation source.Men are being cured while exposed to 4G and 5G.Hair falling out and vomiting are radiation symptoms.It is definitely a coronavirus.,Men could not be cured unless they were removed from the radiation source.Men are
"@cangal21 In my psychology, a virus “made in china” will not last long to start with 🤣🤣🤣🤣—-a vaccine developed in China by a communism system! Nah! No thanks",a virus “made in china” will not last long.vaccine developed in China by a communism system.,a virus “made in china” will not last long to start with —-
my fever is now above 100 the ers and urgent care sites have no tests the closest er asked me to hold on when i called ahead to make sure id be isolated and punted me to a recording about covid I am a doctor i know we are not prepared covid19 trumpvirus,urgent care sites have no tests.the closest er asked me to hold on when i called ahead to make sure id be isolated and punted me to a recording about covid.we are not prepared covid19.,my fever is now above 100.the ers and urgent care sites have no tests.
26 dead from corona national guard mobilized containment areas states of emergency widespread panic 50 are killed on the streets of chicago every month crickets,26 dead from corona national guard mobilized containment areas.50 are killed on the streets of chicago every month crickets.,26 dead from corona national guard mobilized containment areas.50 are killed on the
"Flu Season is winding down and warm weather is returning.  Experts predicted 70% of Americans would be infected with #COVID19.  Turns out .005% were.  Missed it by THAT much.  Fear Porn, it is the new Fake News",Flu Season is winding down and warm weather is returning.70% of Americans would be infected with #COVID19.Turns out.005% were.,Experts predicted 70% of Americans would be infected with #COVID19..00
"@AngryTiger__ Wash your hands and sanitize them so they can be clean...🤔
Covid-19 affects the lungs...🤔
So if one is infected, we could boil soap or sanitizer and inhale the steam to cure it.
Voila",Covid-19 affects the lungs.boil soap or sanitizer and inhale the steam to cure it.,"if one is infected, we could boil soap or sanitizer and"
"Shut up Nancy, you evil evil person 
There will be a cure at some point for the  #coronavirus 

Unfortunately I fear there is no cure for stupidity, hate, and jealously","There will be a cure at some point for the #coronavirus.there is no cure for stupidity, hate, and jealously.",There will be a cure at some point for the #coronavirus.there is
"The fact that this has had to be issued in response to #IMPOTUS 's suggested medical investigations for Covid 19 cure just beggars belief.
@realDonaldTrump is irresponsible &amp; dangerous.
Disinfectant giant warns against injecting its products https://t.co/FHZ3GU361y via @BBCNews",@realDonaldTrump is irresponsible &amp; dangerous.Disinfectant giant warns against injecting its products.,@realDonaldTrump is irresponsible &amp; dangerous.
"Garlic may be tasty, but it will not protect you from the new #coronavirus.  do not spread rumors.  The fight against #COVID19 is also a fight against disinformation.  Share Information Share Knowledge Stay At Home Challenge",it will not protect you from the new #coronavirus.The fight against #COVID19 is also a fight against disinformation.,"Garlic may be tasty, but it will not protect you from the new #corona"
"I had been improving, but we think I have developed pneumonia now. it is not terrible, but it is not cool either and it sets things way back. But, if the covid-19 test is negative, I am going to be terrified of the outside world until this is over.
#coronavirus
#Quarantine
#stayhome","I had been improving, but we think I have developed pneumonia now.it is not terrible, but it is not cool either and it sets things way back.","I had been improving, but we think I have developed pneumonia now.it is not terrible,"
"CQ approved for immediate use.

The cure is released right on time.

Strong isolation measures to stop the spread.

Not until the last minute.

Cure the sick &amp; stop the spread.

Targeting the real ""Invisible Enemy"".

it is all about the break.

Tough truths coming.

Trust The Plan",CQ approved for immediate use.The cure is released right on time.Strong isolation measures to stop the spread.,CQ approved for immediate use.
"Globally, about 3.4% of reported #COVID19 cases have died. By comparison, seasonal flu generally kills far fewer than 1% of those infected- @DrTedros  #coronavirus","Globally, about 3.4% of reported #COVID19 cases have died.seasonal flu generally kills far fewer than 1% of those infected.","Globally, about 3.4% of reported #COVID19 cases have died."
@MFA_China Yeah. Ok. You made it in your bio weapon lab. And why are you burning towns and people,You made it in your bio weapon lab.burning towns and people.,You made it in your bio weapon lab.
So the guy the Freedumb Fighters follow suggested injecting clorox or lysol will cure or prevent #Covid19 while his folowers call the nurses fake? Makes sense. #Freedumb,injecting clorox or lysol will cure or prevent #Covid19.his folowers call the nurses fake.,injecting clorox or lysol will cure or prevent #Covid19.
"EXCLUSIVE Nadine Dorries, a health minister, has become first MP to be diagnosed with coronavirus She has been in Westminster for past week, met hundreds of people, and attended a No 10 reception hosted by Boris Johnson on Thursday","Nadine Dorries, a health minister, has become first MP to be diagnosed with coronavirus.She has been in Westminster for past week, met hundreds of people, and attended a No 10 reception hosted by Boris Johnson on Thursday.","Nadine Dorries, a health minister, has become first MP to be diagnosed with"
"#wuhanvirus #bioweapon #chinavirus:  New York State 783 dead from #coronavirus in one day, but number of patients on ventilators starting to dip: Cuomo",New York State 783 dead from #coronavirus in one day.number of patients on ventilators starting to dip.,New York State 783 dead from #coronavirus in one day.
"This news is FALSE!
Alcohol is not a cure or vaccine s seen in the imegae by @WorldHealthOrg2 It cannot cure or prevent coronavirus. Instead, it can make you have health problems and this risky. Eat healthy and Live healthy; stay safe!

Facts Matter #COVID19 #NABNTV",This news is FALSE! Alcohol is not a cure or vaccine.It cannot cure or prevent coronavirus.it can make you have health problems and this risky.,Alcohol is not a cure or vaccine.It cannot cure or prevent coronavirus
"Nationalist leaders failed in confronting Covid19 as they only listen to themselves , they started to suggest cures like injections of Dettol  one of the bright side effects of Covid19 #COVID19 #Trump Democratic Party",Nationalist leaders failed in confronting Covid19.they started to suggest cures like injections of Dettol.,Nationalist leaders failed in confronting Covid19 as they only listen to themselves.
"Chinese communism did untold evil to this world.

(1) China manufactured the #coronavirus
(2) China disappeared researchers, doctors, &amp; lab samples
(3) China lied about the outbreak &amp; human-to-human transmission to the @WHO

#COVID19 is not a bioweapon but its effects are of one","China manufactured the #coronavirus.China disappeared researchers, doctors, &amp; lab samples.China lied about the outbreak &amp; human-to-human transmission to the @WHO.#COVID19 is not a bioweapon but its effects are of one.","China manufactured the #coronavirus.China disappeared researchers, doctors, &amp;"
"@ChinaDaily Why novel? It was #sars virus! #china synthesized it in a lab to be more contagious! Using as bio-weapon worldwide now! To weaken other economies globally! 

Covid 19",#china synthesized it in a lab to be more contagious.Using as bio-weapon worldwide now! To weaken other economies globally.,It was #sars virus.#china synthesized it in a lab
I found a #cure worse than the disease for #COVID19 that @realDonaldTrump might approve just drink a gallon of bleach while (and this is the important part) shining a UV light up your butt... one of the two should kill you and then you do not have to worry about #COVID19 anymore,I found a #cure worse than the disease for #COVID19.drink a gallon of bleach while (and this is the important part) shining a UV light up your butt... one of the two should kill you.,I found a #cure worse than the disease for #COVID19.
"Leftists freaking out as #POTUS talks about #WHO, Voice Of America, etc ""instead of virus."" #Coronavirus is so bad BECAUSE #China is so evil: a totally malicious world-conquering #bioweapon attack. You know NSC-DOD have been hard at work on China. Now dialog is shifting there",#China is so evil: a totally malicious world-conquering #bioweapon attack.NSC-DOD have been hard at work on China.,"#POTUS talks about #WHO, Voice Of America, etc ""instead of"
Worth a read for every young person below 40 without any history of any disease who thinks they are immune from the Virus as their body can cope up better than the aged person. India Fights Corona Covid19 India Covid 19,person below 40.thinks they are immune from the Virus as their body can cope up better than the aged person.,every young person below 40 without any history of any disease who thinks they are immune from the
"Herd immunity is protection from infectious disease such as #COVID19 that occurs when a large percentage of a population (80-90%) has become immune #coronavirus, through infection or vaccination. We are at least 12 months away from #vaccine. Keep vigilant and safe, wear a mask",Herd immunity is protection from infectious disease such as #COVID19 that occurs when a large percentage of a population (80-90%) has become immune #coronavirus.We are at least 12 months away from #vaccine.,Herd immunity is protection from infectious disease such as #COVID19 that occurs when 
"Now that we know the models were way off, the fatality rate was way off, and the combination of drugs that cure #COVID19 - can we start moving away from paranoia and start putting things back to normal?
#coronavirus #Isolation Cautious Optimism",the models were way off.the fatality rate was way off.,"the models were way off, the fatality rate was way off, and the combination of drugs"
"Way too much premature cheer over the IHME-predicted reduction in #Covid19 deaths.

Important: that a patient does not immediately die of Covid19 does not mean they are in the clear. Lung disease has lasting effects; once you have had a bad episode of pneumonia, you have lost lung cap","the IHME-predicted reduction in #Covid19 deaths.a patient does not immediately die of Covid19 does not mean they are in the clear.Lung disease has lasting effects.once you have had a bad episode of pneumonia, you have lost lung cap.",that a patient does not immediately die of Covid19 does not mean they are in the
"Cousin: wuhan virus is a coronavirus 
Dad: Corona is a beer brand, and I drink a lot of it, so that means I am immune to wuhan virus now 
Them: *laughs*
Me: Corona is the name of Rapunzel's kingdom","wuhan virus is a coronavirus.Corona is a beer brand, and I drink a lot of it, so that means I am immune to wuhan virus.Corona is the name of Rapunzel's kingdom.",wuhan virus is a coronavirus.Corona is a
while 80 of covid19 patients only have mild illness and recover italy reports that their hospitals are completely overwhelmed as 10 of coronavirus patients require icu care and there are not enough icu beds this is what happens in a pandemic the us must prepare now,80 of covid19 patients only have mild illness and recover.10 of coronavirus patients require icu care and there are not enough icu beds.,80 of covid19 patients only have mild illness and recover italy reports that their hospitals
"https://t.co/03xK61FdMj
Sadhu Sundar Selvaraj, Worse Than Coronavirus is coming on the Earth; Recorded March 29, 2020  I HAVE BEEN TOLD BY THE LORD ABOUT THE NEXT PLAGUE WILL B LIKE BOILS CYST ON THE BODYS &amp; THERE WINT B A CURE 4 #coronavirus HE CONFIRMED IT I SAID IT HERE",I HAVE BEEN TOLD BY THE LORD ABOUT THE NEXT PLAGUE WILL B LIKE BOILS CYST ON THE BODYS.THERE WINT B A CURE 4 #coronavirus.HE CONFIRMED IT.,NEXT PLAGUE WILL B LIKE BOILS CYST ON THE
this flattenthecurve graph surged to prominence this week but it did not say why it is so bad when medical treatment capacity is overwhelmed gt mortality rate rises so here is a small animation that shows the value of early containment and double dividend of delay covid19,this flattenthecurve graph surged to prominence this week.medical treatment capacity is overwhelmed gt mortality rate rises.,this flattenthecurve graph surged to prominence this week.it did not say why
"@SeanBoscott hey if you are still at Sainsburys, other supermarkets exsist apparently! can you get some #bleach #detergent please as #trump #POTUS says if we drink/inject said substance's and sit in the sun we can be all cured overnight of Covid 19","hey if you are still at Sainsburys, other supermarkets exsist.drink/inject said substance's and sit in the sun we can be all cured overnight of Covid 19.",if we drink/inject said substance's and sit in the sun we can be
"@bhanu_prakash07 This is 2nd time virus ravatam
1st time vachina virus ni 3 years back nundi experiments chestunnaru Wuhan  lab  lo....
China lo already journalists were arrested 1st week for writing articles on virus.Tide pods
So lab scientists need to know....
I think they were developing for bio weapon",This is 2nd time virus ravatam.they were developing for bio weapon.,This is 2nd time virus ravatam 1st time vachina virus 
"Alcohol wrongly touted as COVID-19 cure, killed 480",Alcohol wrongly touted as COVID-19 cure.killed 480.,"Alcohol wrongly touted as COVID-19 cure, killed 480."
in the 5 months since the beginning of the corona virus outbreak 3800 people worldwide have died in that same period the flu has killed over 310000 wake up people the coronavirus scare is a maufactured crisis ask yourself who benefits from this crisis feel me,in the 5 months since the beginning of the corona virus outbreak 3800 people worldwide have died.the coronavirus scare is a maufactured crisis.,in the 5 months since the beginning of the corona virus outbreak 3800 people worldwide have
"2019-nCoV was discovered by Chinese scientists in 2019. They considered it a ""novel virus"". They also concluded it was deadly and easily transmitted. 
""We Made the Coronavirus Epidemic"" 2019n CoV #pandemic 
#virology #ethics #biowarfare",2019-nCoV was discovered by Chinese scientists in 2019.They also concluded it was deadly and easily transmitted.,"2019-nCoV was discovered by Chinese scientists in 2019.They considered it a ""nov"
breakthrough chloroquine phosphate an old antimalaria drug has shown apparent efficacy in treatment of covid19 associated pneumonia in clinical studies chloroquine provides both antiviral and antiinflammatory benefits to patients,chloroquine phosphate an old antimalaria drug has shown apparent efficacy in treatment of covid19.chloroquine provides both antiviral and antiinflammatory benefits.,chloroquine phosphate an old antimalaria drug has shown apparent efficacy
"In the 5 months since the beginning of the Corona Virus outbreak, 3800 people Worldwide Have died. In that same period The flu has killed Over 310,000. Wake up people! The Coronavirus ""Scare"" Is a maufactured crisis. Ask yourself: Who benefits from this crisis? Feel me","In the 5 months since the beginning of the Corona Virus outbreak, 3800 people Worldwide Have died.The flu has killed Over 310,000.","In the 5 months since the beginning of the Corona Virus outbreak, 3800 people Worldwide Have"
"Now now, maybe injecting disinfectant could cure Coronavirus?  I hear a tad of Anthrax can do wonders for a bad cold. #Trump #Coronavirus Disinfectant Covid19",injecting disinfectant could cure Coronavirus.Anthrax can do wonders for a bad cold.,injecting disinfectant could cure Coronavirus.
"From 1999-2014, Ukraine donated more money to the Clinton Foundation than any other foreign country. Biden, Pelosi, Kerry, & Romney all have children working for Ukrainian gas companies. And all of the people I mentioned want Trump impeached. Are you connecting the dots yet? 🤔 — Educating Liberals (@Education4Libs) October 8, 2019","From 1999-2014, Ukraine donated more money to the Clinton Foundation than any other foreign country.Biden, Pelosi, Kerry, & Romney all have children working for Ukrainian gas companies.","From 1999-2014, Ukraine donated more money to the Clinton Foundation than any other foreign country."
"Abba Kyari has been sacked and replaced with Abiola Ajimobi is fake news.

President Buhari held his press conference from Cuba is fake news.

#Coronavirus is fake, that it does not exist is fake news.

Please verify your news before believing and sharing.

No2 Fake News","Abba Kyari has been sacked and replaced with Abiola Ajimobi is fake news.President Buhari held his press conference from Cuba is fake news.#Coronavirus is fake, that it does not exist is fake news.",Abba Kyari has been sacked and replaced with Abiola Ajimobi
corona update a good news for our state the pt undergoing treatment at rggh is tested negative for coronathis speedy recovery is possible only because of the meticulous treatment amp expertise of tnhealth to handle exigencies as of now tn is corona free cvb,the pt undergoing treatment at rggh is tested negative for coronathis.speedy recovery is possible only because of the meticulous treatment amp expertise of tnhealth.,the pt undergoing treatment at rggh is tested negative for corona
"@geoff_p_wade The #coronavirus outbreak hit the whole world because CCP has started #biowar to the human being on the earth

#coronavirus is #CCPVirus that was made in the Wuhan F4 lab by CCP.
It is used as Bio Weapon by CCP and killed tens of thousands of people in China",CCP has started #biowar to the human being on the earth.#coronavirus is #CCPVirus that was made in the Wuhan F4 lab by CCP.used as Bio Weapon by CCP and killed tens of thousands of people in China.,The #coronavirus outbreak hit the whole world.CCP has started #biowar
Vietnam was the first country to fully contain SARS and COVID-19 (with no deaths) and developed a quick-test kit in one month that the WHO says should have taken four years. WHO is now consulting with Vietnam to get help for the global crisis. Of course this is not in our news,Vietnam was the first country to fully contain SARS and COVID-19 (with no deaths.developed a quick-test kit in one month.WHO is now consulting with Vietnam to get help for the global crisis.,Vietnam was the first country to fully contain SARS and COVID-19 (with no deaths
this is unbelievable it reportedly took macrons threat to close the uk border for boris johnson to finally shutdown bars and restaurants the elysee refers to uk policy as benign neglect this failure of leadership is costing lives,took macrons threat to close the uk border for boris johnson to finally shutdown bars and restaurants.this failure of leadership is costing lives.,it reportedly took macrons threat to close the uk border for boris 
